Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	
C10orf113	0.361227	1.17321	0.804841	-1.04817			
C10orf12	0.933622	-1.01387	0.11158	-1.34235			
C10orf35	0.276907	-1.12505	0.236206	-1.15128			
C10orf40	0.745586	-1.03479	0.829355	1.02518			
C10orf54	0.162089	-1.08308	0.592375	-1.03356			
C10orf76	0.78624	-1.05769	0.208454	-1.33463			
C10orf82	0.873934	-1.01612	0.824048	1.02486			
C10orf88	0.182226	1.18098	2.34874e-005	-1.94801			
C11orf1	0.19094	1.23801	0.721955	-1.0648			
C11orf21	0.941001	-1.00655	0.355174	1.09418			
C11orf24	0.0197856	1.17767	7.22663e-011	2.04102			
C11orf57	0.0595883	1.27471	0.0272544	1.37055			
C11orf58	0.778448	1.03443	0.755471	-1.0419			
C11orf63	0.00118905	-2.21363	0.594162	1.13986			
C11orf65	0.360662	-1.12551	0.00059758	1.7079			
C11orf71	0.530312	-1.17545	0.31737	1.3279			
C11orf73	0.657063	1.05723	0.164896	1.21352			
C11orf82	0.270318	1.1973	0.00133275	1.86174			
C11orf87	0.964866	-1.00421	7.08655e-016	-4.99923			
C11orf92	0.86895	-1.01899	0.21116	1.17143			
C11orf93	0.918964	-1.00965	0.000392325	1.50552			
C12orf4	0.474675	-1.16276	0.222307	-1.3289			
C12orf57	0.218079	1.10131	0.261388	-1.10096			
C12orf65	0.0420664	1.13801	9.60032e-005	1.34972			
C12orf66	2.12253e-005	1.33696	3.68989e-005	-1.35762			
C14orf101	0.291893	1.32714	0.00129839	-2.78831			
C14orf109	0.912858	1.01461	0.834499	1.03082			
C14orf142	0.197218	1.15717	0.195975	-1.17394			
C14orf159	0.380192	1.07862	0.42587	-1.07804			
C14orf166	0.189043	1.2741	0.0935652	-1.4077			
C14orf23	4.53248e-009	6.35425	0.198498	-1.38791			
C14orf28	0.302652	1.104	0.00227191	-1.4117			
C14orf64	0.00124757	-2.54461	0.127886	1.56765			
C15orf26	0.00374751	1.55793	0.72741	1.05587			
C15orf39	0.641946	-1.02012	0.00523675	1.15014			
C15orf44	0.000182058	1.47876	0.00149322	1.42053			
C15orf54	0.960102	-1.00308	0.0615968	1.13857			
C15orf60	0.666232	-1.0391	0.605837	1.05158			
C16orf52	0.0352516	1.12021	2.37844e-005	-1.32517			
C16orf53	0.233095	1.20375	8.23588e-006	2.44997			
C16orf70	0.50156	1.14857	0.000582859	-2.3579			
C16orf78	0.450029	-1.06309	0.431767	1.07227			
C16orf80	0.178623	1.24755	0.000380697	-2.02161			
C17orf102	0.804478	-1.01951	0.0147706	-1.2452			
C17orf112	0.734671	1.02818	0.410289	-1.07714			
C17orf56	0.44171	-1.06668	0.49568	1.06456			
C17orf65	0.549256	-1.06398	0.0906478	1.21661			
C17orf70	0.280861	-1.09512	0.106207	1.16295			
C17orf79	0.741333	-1.02057	0.0574183	-1.1414			
C17orf80	0.651143	-1.06399	0.97842	1.00407			
C17orf89	0.853526	-1.01963	0.43643	-1.09441			
C18orf1	0.000558749	1.45507	0.00243638	-1.42219			
C19orf10	0.00241211	1.28756	0.51463	-1.05665			
C19orf40	0.869044	1.02153	0.0836827	1.28536			
C19orf66	0.577845	-1.07049	0.240736	1.17201			
C19orf75	0.87327	-1.01223	0.168603	1.12389			
C1orf109	2.05256e-007	1.88919	0.949603	1.00666			
C1orf112	0.0436517	1.27766	1.42898e-007	2.38615			
C1orf130	0.548547	1.05348	0.873895	-1.01517			
C1orf137	0.31927	-1.07251	0.000353567	1.35661			
C1orf173	0.177506	-1.29935	7.94043e-010	-6.23967			
C1orf185	0.0223699	1.23856	0.0195854	1.27125			
C1orf226	0.00315578	-1.34881	0.00167876	1.42254			
C1orf31	0.104244	-1.17324	1.01106e-005	-1.73879			
C1orf51	0.104205	1.22885	0.056049	1.30706			
C1orf86	0.740197	-1.02981	0.105602	1.17401			
C1QL1	0.0803581	-1.34957	0.000199938	2.15611			
C1QTNF3	0.163274	1.26181	0.273224	1.22011			
C1R	0.228837	-1.21413	0.00499854	1.6892			
C20orf111	0.000180902	1.57153	0.0369559	1.28816			
C20orf20	0.000161113	1.38895	0.762778	1.02575			
C20orf72	0.468373	1.14019	0.0413551	1.51754			
C21orf67	0.219113	-1.11029	0.250984	1.11281			
C21orf7	0.616965	-1.03906	0.000174126	1.42724			
C22orf13	0.114709	1.0643	0.917758	-1.00438			
C22orf34	0.734281	-1.03601	0.205569	1.15762			
C22orf39	0.00599585	1.20719	0.0123714	-1.20398			
C22orf46	0.552121	-1.07367	0.046864	1.30789			
C2CD2	0.038729	1.25541	0.609582	1.06129			
C2CD3	0.174178	1.1851	0.00531487	1.49437			
C2orf16	0.793531	-1.02541	0.508385	-1.07215			
C2orf42	0.0275394	-1.22165	0.0922165	-1.179			
C2orf66	0.964909	-1.0148	0.0929774	1.87627			
C2orf69	0.00542741	1.32706	4.14977e-006	-1.78661			
C2orf74	0.00363602	1.43524	0.0390516	-1.31094			
C3AR1	0.742042	-1.08874	0.909328	1.03272			
C3orf26	7.09409e-010	1.82057	0.419555	1.06251			
C3orf37	0.449423	1.09123	0.0202948	-1.35775			
C3orf52	0.401167	1.20568	0.252553	1.32403			
C3orf58	0.00290593	-1.72468	0.0524836	-1.45043			
C3orf70	0.0951435	1.39059	0.0618583	-1.50169			
C3orf78	5.21787e-007	1.28807	0.000320197	1.19409			
C4orf21	0.0223814	1.23987	1.26642e-009	2.32501			
C4orf27	0.958047	-1.00648	0.0740891	-1.28012			
C4orf29	0.00389689	1.3547	0.814754	-1.02545			
C4orf33	0.472227	-1.14843	0.644142	1.10204			
C4orf34	0.327599	-1.14306	0.0100635	-1.49831			
C4orf46	0.953485	-1.0074	0.00756495	1.48184			
C4orf50	0.943089	1.00735	0.444087	-1.09033			
C5	0.0504783	1.3587	3.83872e-007	2.90138			
C5orf15	0.997652	-1.00039	0.574718	-1.08572			
C5orf22	0.552853	1.12983	0.00450501	-1.98206			
C5orf28	0.0553307	1.31924	0.0886838	-1.30713			
C5orf34	0.127248	1.30848	0.000512454	2.07701			
C5orf42	0.936171	1.0154	0.522343	1.14361			
C5orf43	0.291647	1.0856	0.921684	-1.00834			
C5orf44	0.991423	1.00187	0.0112135	-1.66453			
C5orf54	0.486675	-1.11309	0.562786	-1.10243			
C5orf55	0.51358	-1.08213	0.0261224	-1.35803			
C5orf56	0.571395	-1.02904	1.0108e-006	1.39807			
C5orf62	0.395713	1.28414	0.371601	1.33429			
C6orf106	0.467245	1.06342	1.37353e-007	-1.86941			
C6orf141	0.755878	1.0493	0.214519	1.23747			
C6orf211	0.6429	-1.07108	3.03232e-005	-2.19911			
C6orf47	0.522182	1.06893	0.000122356	1.64427			
C6orf72	0.28209	-1.26656	0.140816	-1.42975			
C7orf23	6.24538e-005	2.27072	0.984944	1.00368			
C7orf25	0.000150533	1.3088	0.000417477	1.30962			
C7orf26	0.00392138	1.24205	0.0135576	1.22055			
C7orf31	0.383434	1.15981	0.000292004	2.1219			
C7orf45	0.639756	-1.06086	0.259516	1.17035			
C7orf49	6.87211e-006	1.50879	5.30335e-005	1.47773			
C7orf53	1.36209e-005	1.59399	1.07584e-007	1.97754			
C7orf60	0.553912	1.03419	0.0171654	-1.16789			
C7orf73	0.036147	1.2238	0.000685994	1.46491			
C8B	0.860278	-1.01443	0.100146	1.16183			
C8orf76	0.0034746	1.42786	0.338032	-1.1272			
C9orf118	0.144779	1.11312	1.36573e-006	1.60161			
C9orf170	0.595596	1.06122	5.13904e-005	1.77285			
C9orf173	0.900363	-1.01072	0.513584	1.06304			
C9orf40	0.000366432	1.72351	0.156368	-1.24102			
C9orf41	0.0158329	1.32786	0.000419128	-1.61882			
C9orf64	0.222812	-1.52534	0.606655	1.21327			
C9orf72	0.564906	-1.16601	0.255364	-1.39823			
C9orf78	0.0219495	1.14988	0.236006	1.07956			
CA11	0.719598	1.03837	4.91553e-013	-3.94583			
CA5B	0.00166604	1.52222	0.793637	-1.03579			
CA5BP1	0.00193933	1.3873	0.058374	1.23091			
CAAP1	0.867175	1.05909	0.906492	-1.04516			
CABLES2	0.276523	-1.16259	0.368184	1.14573			
CABP7	0.639703	1.0511	0.903137	1.01427			
CACHD1	0.000978542	-1.92026	0.295546	1.23151			
CACNA1A	0.82591	-1.09488	0.134911	-1.9889			
CACNA2D1	0.000995066	7.93628	0.033968	-3.98384			
CACNA2D3	0.938192	-1.02211	1.36309e-007	-8.13633			
CACNA2D4	0.720304	-1.03452	0.223744	1.13632			
CACNG2	0.697555	1.04291	2.2634e-021	-17.6146			
CADM1	0.191692	-1.32967	0.937329	-1.0187			
CALB1	0.623337	-1.27086	0.0541113	-2.88817			
CALCOCO2	0.995162	1.0009	0.405066	1.14609			
CALCRL	0.777891	-1.14482	0.72503	1.20301			
CALD1	0.0142104	1.50768	0.000273108	2.03811			
CALN1	0.672402	-1.04525	0.00276359	-1.44814			
CALU	0.0199566	1.48891	1.18367e-005	2.53307			
CAMKK2	0.000940986	1.24817	5.25938e-018	-3.42025			
CANT1	0.00034549	-1.17659	0.99908	-1.00005			
CAPN6	0.82562	1.06303	0.592238	1.17714			
CAPNS1	0.491252	-1.10315	7.96232e-005	-2.02232			
CAPZA1	0.422464	1.14355	0.23719	-1.24348			
CAPZA2	0.0133245	1.30591	0.00210567	-1.45363			
CARD16	0.670182	-1.16558	0.0447063	2.26498			
CARD8	0.802916	-1.02897	0.000253191	1.67452			
CARHSP1	0.741049	-1.03437	0.301315	1.12382			
CARS	1.7203e-005	1.37518	0.748778	-1.02233			
CASD1	0.205653	1.21118	5.41469e-006	-2.44745			
CASP1	0.637404	-1.19098	0.225654	1.64444			
CASP2	0.00250312	1.32259	1.45211e-011	2.65026			
CASP3	0.341805	-1.14145	0.0181837	1.45479			
CASP4	0.983622	1.0064	0.0948322	1.78967			
CASP5	0.277293	-1.0757	0.000149466	1.3681			
CASP7	0.0862677	-1.20349	0.0147764	1.34439			
CASP8	0.806325	-1.04893	0.265422	1.27136			
CAST	0.047463	-1.66795	0.767629	1.0842			
CATSPERG	0.25753	-1.08814	0.0705816	1.16218			
CAV1	0.0210885	-1.98423	0.00225712	2.80007			
CBFA2T2	0.981147	1.00266	0.635296	-1.06016			
CBLL1	7.286e-005	1.33257	0.00388261	1.23884			
CBR3	0.00587015	1.21586	0.243373	1.0897			
CBR4	0.02051	1.36898	0.132794	1.24272			
CBWD1	0.00600019	1.48369	0.00811056	1.51351			
CBWD2	0.00327196	1.59398	0.00992194	1.55266			
CBWD3	0.00208426	1.62494	0.00218123	1.69735			
CBWD5	0.00200184	1.60759	0.00345993	1.62857			
CBWD6	0.00125916	1.58837	0.000938341	1.68623			
CBWD7	0.000728511	1.73029	0.00201555	1.71566			
CBX3	1.58876e-011	1.75147	2.51173e-013	2.06903			
CBX6	0.266041	1.10636	9.19718e-007	-1.82345			
CC2D1B	0.24197	1.06334	9.49961e-005	1.28874			
CCBL2	0.452881	1.161	0.904492	-1.02636			
CCDC102B	0.0699262	2.79509	0.461776	-1.56302			
CCDC104	0.59652	1.04753	0.00668179	-1.31921			
CCDC108	0.72563	-1.03402	0.35314	1.10248			
CCDC109B	0.667866	1.10864	0.00029281	2.90953			
CCDC111	0.458726	1.0728	0.0801913	1.20406			
CCDC116	0.352842	-1.09129	0.120272	1.17605			
CCDC117	0.0396144	1.27578	1.52657e-005	-1.89386			
CCDC125	0.194273	1.31404	0.105884	1.45594			
CCDC126	1.79024e-007	1.39479	8.94747e-010	-1.60631			
CCDC130	0.0021661	1.25918	1.14397e-006	1.5791			
CCDC132	0.0255511	1.35728	9.85524e-006	-2.12845			
CCDC137	0.0778527	1.15492	0.00663541	1.28668			
CCDC142	7.1047e-005	1.29995	4.47535e-007	1.4918			
CCDC146	0.732311	-1.03385	6.07244e-005	1.63594			
CCDC149	0.750751	1.02854	0.000421218	-1.464			
CCDC15	0.744267	-1.06255	1.0713e-008	4.82324			
CCDC153	0.69143	-1.03435	0.0242325	1.24492			
CCDC158	0.348511	-1.1291	0.00275063	-1.57731			
CCDC162P	0.487833	1.14617	0.419835	1.19009			
CCDC166	0.84227	-1.0313	0.737593	1.05853			
CCDC17	0.978112	-1.00215	0.162037	1.12963			
CCDC18	0.945674	-1.01153	2.50603e-007	3.3537			
CCDC27	0.468101	-1.06654	0.0596747	1.20677			
CCDC34	0.315661	-1.20432	0.00397526	1.86393			
CCDC41	0.00101422	1.48963	1.57855e-012	3.97448			
CCDC60	0.887413	1.01315	0.183454	1.1462			
CCDC64	0.669609	-1.03845	0.360514	-1.09314			
CCDC69	0.792595	-1.01919	0.366218	-1.07466			
CCDC7	0.968449	1.00979	0.00103852	-2.64218			
CCDC77	6.74108e-005	1.96498	0.0197746	1.48304			
CCDC80	0.755651	-1.12959	0.0979601	2.06673			
CCDC82	0.104066	-1.39649	0.238901	1.29984			
CCDC84	0.676696	-1.0603	2.34141e-009	3.5858			
CCDC89	0.932911	-1.0132	0.00366143	1.70477			
CCDC90A	0.00251346	1.3772	0.00074179	-1.4909			
CCDC91	0.625059	-1.1063	0.0581167	-1.55507			
CCDC99	0.768959	1.02659	6.57044e-008	1.99325			
CCL2	0.509772	-1.30079	0.520634	1.32401			
CCL25	0.851617	-1.0162	0.157383	1.14491			
CCL5	0.798177	-1.02731	0.0488088	1.2649			
CCNA1	0.0570998	-1.21268	1.2222e-005	-1.74749			
CCNA2	0.701297	1.06584	6.27952e-014	10.5842			
CCNB1	0.16811	1.19391	6.5295e-010	3.39534			
CCNC	0.117454	1.24911	0.0456877	-1.37047			
CCNDBP1	0.00128256	1.41202	2.56969e-006	-1.84973			
CCNE2	0.016758	1.73657	0.0260601	1.74842			
CCNG1	0.991555	-1.00158	0.666597	-1.07328			
CCNH	2.56431e-005	1.81031	6.88052e-005	1.82994			
CCNL1	0.575334	1.09762	0.0115217	1.62391			
CCNL2	0.0191337	1.336	1.40037e-007	2.39993			
CCNT2	0.180878	1.20817	0.647906	1.07225			
CCRN4L	2.67541e-005	1.31721	4.86482e-005	-1.33494			
CCSAP	0.250547	-1.118	0.471201	-1.07907			
CCT4	0.000416703	1.51576	6.42501e-005	-1.70362			
CCT6A	5.68637e-005	2.33712	0.0322506	1.56187			
CCT6B	0.000888217	1.21252	0.206785	1.07661			
CCT6P1	1.25365e-007	2.20714	3.56567e-005	1.84399			
CCT6P3	1.36839e-008	2.22084	2.02188e-005	1.77396			
CCT8	1.16775e-005	1.87128	0.196829	-1.18859			
CCZ1	7.74727e-006	1.7347	0.0304382	1.28959			
CCZ1B	6.10572e-006	1.57241	0.00638167	1.30422			
CD109	0.174242	-2.25694	0.728091	1.25214			
CD164	0.429271	1.16283	0.45485	-1.16902			
CD180	0.730564	-1.09501	0.773696	1.08653			
CD1C	0.865896	1.01011	0.108096	1.11306			
CD24	0.896854	1.03546	0.00037095	3.22508			
CD274	0.00571947	-1.80447	0.46333	-1.17514			
CD2AP	0.0550472	-1.70084	0.430136	1.26249			
CD3E	0.889778	-1.00794	0.0204506	1.16393			
CD44	0.283625	1.30185	6.14811e-007	5.29017			
CD46	0.309719	-1.27874	0.653037	-1.12565			
CD47	0.092005	-1.36251	1.89817e-005	-2.68454			
CD55	0.844476	1.02536	2.15961e-005	-2.0076			
CD58	0.0557881	1.28707	8.36894e-006	2.10648			
CD59	0.945071	1.01251	0.00242842	-1.91393			
CD80	0.565536	-1.05606	0.0691389	1.21392			
CD82	0.758787	-1.06006	0.610418	1.112			
CD83	0.000602956	1.4347	0.941656	1.00764			
CD9	0.0219132	1.82687	0.0481086	1.75533			
CD97	0.00014922	-1.76663	0.0267874	1.39736			
CD99	0.00273178	-2.00344	0.00066809	2.422			
CD99P1	0.00725847	-1.53376	5.2656e-005	2.1516			
CDC14B	1.39697e-007	2.14254	0.0247475	-1.33483			
CDC20	0.202097	1.18328	4.07549e-006	2.21249			
CDC20B	0.696705	-1.03024	0.207549	1.11274			
CDC20P1	0.262562	1.18222	0.0524808	1.38304			
CDC25A	0.00137421	1.9133	0.000179444	2.36569			
CDC25B	3.68099e-009	1.65633	6.25659e-006	1.44506			
CDC25C	0.34077	-1.16015	1.7838e-005	2.35466			
CDC27	0.256546	1.20125	0.0252785	-1.50519			
CDC37	6.73579e-007	1.50439	0.00334648	-1.25575			
CDC37L1	0.926478	1.01145	5.56559e-011	-3.77772			
CDC42-IT1	0.00282281	1.5533	0.891098	-1.02069			
CDC42EP2	0.951	-1.00435	0.233195	-1.09789			
CDC42SE2	0.264401	-1.19206	3.11928e-005	-2.29001			
CDC45	0.24455	1.15726	6.28202e-005	1.87106			
CDC6	0.239669	-1.16496	4.08426e-009	3.12216			
CDC7	0.302123	-1.12387	9.69051e-005	1.7289			
CDCA2	0.276371	1.14848	2.24972e-011	4.09566			
CDCA3	0.32178	-1.16127	0.00168532	1.75225			
CDCA5	0.742494	-1.04588	0.000609253	1.76371			
CDCA7	4.86435e-008	2.09761	1.82403e-015	5.38048			
CDCA8	0.0348732	1.45836	2.23257e-005	2.55465			
CDCP1	0.00199108	-1.77774	0.118779	1.34828			
CDH11	0.201777	-1.48914	0.578541	1.20649			
CDH22	0.763068	1.03453	0.0618142	-1.26769			
CDH4	0.202027	1.22889	0.248917	-1.22572			
CDH5	0.906076	1.07313	0.145906	-2.63817			
CDHR2	0.636161	-1.04854	0.0443874	1.25608			
CDHR3	0.616179	1.03795	7.74734e-006	1.54365			
CDIPT	0.0401045	1.21124	0.000107309	-1.54663			
CDK1	0.978397	1.0055	3.61678e-009	6.0976			
CDK11A	0.002379	1.27638	6.92568e-006	1.54855			
CDK11B	0.00252743	1.30999	1.73059e-005	1.58123			
CDK13	4.75194e-005	1.73835	0.022722	1.35856			
CDK14	0.0516589	1.44096	0.000271713	-2.25731			
CDK17	0.161223	-1.33043	0.000674744	-2.2831			
CDK2	0.533994	1.04294	4.76459e-014	2.63212			
CDK5	3.64462e-006	1.48244	0.0112267	-1.22873			
CDK5RAP1	0.000415352	1.29988	0.137668	1.11672			
CDK6	5.04531e-005	2.49924	0.000146385	2.51621			
CDK7	0.0137608	1.40112	0.0766181	-1.29549			
CDKL4	0.3059	-1.10257	0.00690287	-1.34701			
CDKL5	0.00264499	-2.44006	3.08426e-006	-5.49612			
CDKN2AIP	0.0848581	1.2063	0.827383	-1.02568			
CDKN2AIPNL	0.421112	1.14085	0.00154497	-1.85224			
CDKN2B-AS1	0.171742	1.50382	0.817349	-1.07721			
CDKN2C	0.056689	1.8526	0.693055	-1.14546			
CDKN3	0.348426	1.18441	0.00859183	1.72867			
CDON	4.12659e-005	2.55238	0.0337123	1.6099			
CDR2	2.97027e-006	2.17827	0.729777	-1.05326			
CDRT1	0.612814	1.05691	3.72263e-005	1.77377			
CDRT15	0.904811	-1.01098	0.118883	1.17268			
CDV3	0.0014565	1.24675	0.0347908	1.16462			
CEACAM1	0.773907	1.02253	0.031794	1.20882			
CEBPB	0.837842	-1.02904	0.436072	-1.1274			
CEBPG	4.59333e-005	1.43917	0.348212	1.08313			
CEBPZ	6.90456e-008	2.08036	0.444271	-1.09167			
CECR7	0.620639	-1.08102	0.122679	-1.31132			
CELF1	0.0190437	1.12211	0.00495127	1.16706			
CELP	0.861688	-1.02355	0.662203	1.06612			
CELSR1	0.83552	-1.02691	0.1704	1.21541			
CEND1	0.002527	-1.62155	0.0013485	-1.76443			
CENPA	0.0479086	1.24696	7.11681e-005	1.71542			
CENPE	0.972893	1.00564	2.38972e-013	9.31934			
CENPH	0.00324472	1.31874	4.81468e-015	3.92679			
CENPI	0.0616997	1.42624	1.11464e-007	3.99771			
CENPK	0.220109	1.1702	5.42199e-015	7.21386			
CENPL	0.00221599	1.27055	1.37812e-006	1.60106			
CENPM	0.776579	1.03095	0.00393365	1.43946			
CENPN	0.230681	-1.23519	0.0695349	1.42757			
CENPO	0.00066639	-1.84358	2.25862e-005	2.42182			
CENPP	0.699172	1.04883	2.75231e-006	2.16104			
CEP104	0.0446362	1.33827	0.896015	-1.02028			
CEP120	0.239221	1.18807	0.244692	1.20509			
CEP128	0.563538	1.08841	0.00503955	1.61755			
CEP19	0.538768	1.05907	3.16307e-005	-1.63977			
CEP350	0.105103	1.3708	0.910068	-1.02383			
CEP41	8.11066e-005	1.25844	0.780712	-1.01564			
CEP44	0.00622062	1.3426	0.551949	-1.0682			
CEP55	0.316772	1.27683	3.62486e-008	6.87647			
CEP57	0.991284	-1.00175	0.00507965	1.68928			
CEP57L1P1	0.392394	1.10195	0.164657	1.19071			
CEP85	0.000756598	1.87315	0.534665	1.12208			
CEP97	0.704125	1.04975	0.0628453	-1.30736			
CEPT1	0.00056176	1.58411	0.0304168	-1.34541			
CERKL	0.737574	-1.04974	0.0951681	1.31122			
CERS2	5.93208e-005	1.52377	0.24957	-1.12304			
CERS3	0.949171	1.00537	0.867736	1.01545			
CES4A	0.519595	-1.02583	1.48555e-007	-1.33901			
CETN3	0.246051	1.20512	0.0665779	-1.3894			
CFB	0.958046	1.00943	0.699424	1.07848			
CFHR1	0.794739	-1.02079	0.73046	1.03031			
CFHR3	0.751694	-1.02227	0.804277	1.01907			
CFL2	0.530491	-1.20384	0.00439435	-2.68193			
CFLAR	0.681705	1.04199	0.00561562	1.38352			
CFP	0.981883	-1.00251	0.0552764	1.26991			
CGGBP1	0.193136	-1.17174	0.541253	-1.08393			
CGN	0.734586	-1.02074	0.145804	1.10312			
CGNL1	0.539086	-1.15217	0.860105	1.04539			
CH25H	0.801133	-1.07214	0.595792	-1.17467			
CHAF1A	0.0137394	1.31381	6.82027e-006	1.86036			
CHAF1B	0.19188	1.12414	6.99171e-008	1.97491			
CHAT	0.801025	1.01774	0.00765953	1.24185			
CHCHD2	0.382652	1.14553	0.147737	1.28353			
CHCHD2P6	0.335215	1.14857	0.381498	1.14753			
CHCHD2P8	0.55309	1.07995	0.802385	1.0361			
CHCHD3	2.10743e-011	1.68494	1.00997e-010	1.7063			
CHCHD4	0.000100509	1.20176	0.00134217	-1.1722			
CHCHD7	0.507359	1.07017	0.00101904	-1.49617			
CHCHD8	1.27037e-008	1.45788	8.94085e-005	1.27333			
CHD1	0.0176894	1.67421	0.0138802	1.79989			
CHEK1	0.185742	1.29215	3.0055e-009	5.57186			
CHGB	0.574153	-1.11537	3.01343e-006	-3.33752			
CHI3L1	0.000271151	8.66176	0.580599	1.37755			
CHI3L2	0.747251	-1.03731	0.0953505	-1.23675			
CHIC1	0.138984	1.24608	5.89479e-008	-3.10776			
CHIC2	0.0917477	1.39779	0.0291238	1.62026			
CHM	0.104232	1.61934	0.00242156	-2.84002			
CHN1	0.559685	1.11105	2.97566e-005	-2.61385			
CHN2	0.562499	-1.122	0.119104	-1.41264			
CHORDC1	0.0658508	1.31064	0.000474791	-1.83776			
CHPT1	0.00109731	1.71496	0.00480799	-1.64585			
CHRAC1	0.174175	1.14181	0.122098	-1.18063			
CHRFAM7A	0.634224	-1.12119	0.134402	-1.49343			
CHRNA1	0.875901	1.08516	0.794884	1.16078			
CHRNA3	0.89458	1.04881	0.843511	1.08089			
CHRNA5	0.000171652	1.92507	0.337801	1.17698			
CHRNA7	0.501427	-1.19018	0.152221	-1.50946			
CHRNE	0.807949	-1.04446	0.0729225	1.43493			
CHST12	0.317248	1.09354	0.123041	1.16512			
CHST7	0.169042	1.20873	0.21584	-1.20479			
CHSY3	0.789754	-1.03018	0.00280218	-1.48315			
CHUK	0.0480562	1.45216	0.155051	-1.33538			
CINP	0.549844	-1.04213	0.00905361	-1.23195			
CIRH1A	0.0324918	1.52384	0.049969	-1.52249			
CISD1	0.0375502	1.4128	8.06584e-008	-3.4001			
CISD2	0.250225	1.13854	0.000189007	-1.67482			
CIT	0.976024	1.00535	0.000953797	-2.02769			
CITED1	0.350157	1.15194	0.514582	1.11368			
CKAP2L	0.75511	-1.07196	5.67558e-009	6.98564			
CKB	0.0130539	-1.18593	0.0829111	-1.13539			
CLCC1	0.601941	1.08188	0.474757	1.12566			
CLCN2	0.167171	1.17236	0.049133	1.28701			
CLDN10	0.994587	-1.00145	5.29774e-006	-3.58885			
CLDN12	0.600219	-1.04504	0.800867	1.02346			
CLDN19	0.268629	-1.07046	0.274221	1.07649			
CLDN20	0.0569697	1.16081	0.0564535	-1.17787			
CLDN24	0.932293	1.00803	0.397944	1.09167			
CLEC17A	0.713184	-1.03403	0.597235	1.05417			
CLEC3B	0.585467	-1.05052	0.00274457	1.37658			
CLEC4A	0.588934	-1.04639	0.0485005	1.20567			
CLIC2	0.00015232	1.92452	0.00438158	-1.66567			
CLIC6	0.901794	-1.02814	0.0871563	1.54041			
CLIP4	1.51735e-007	1.91163	0.0003369	-1.52521			
CLK1	0.691472	1.08026	0.740036	1.07323			
CLK4	0.404291	-1.14332	0.170903	1.27549			
CLMN	0.147804	1.73944	0.00678014	-3.27739			
CLMP	0.0756922	1.88681	0.554467	-1.25353			
CLN6	0.240851	1.08904	0.0373846	1.18541			
CLOCK	0.10024	1.42425	0.115047	-1.44879			
CLPSL1	0.924863	1.00877	0.108036	1.18138			
CLPTM1L	0.0798427	1.19419	0.0491745	-1.24586			
CLRN1	0.398804	-1.29474	0.763779	1.10545			
CLSPN	0.320906	1.22767	7.19943e-007	4.00909			
CLSTN2	0.526125	-1.10392	0.000407453	-1.95701			
CLU	0.0147662	-1.42425	0.270572	1.18302			
CLVS1	0.597722	1.06842	2.69194e-008	-2.75097			
CMAS	0.00166711	1.37701	1.46459e-011	-2.90038			
CMKLR1	0.912855	1.03805	0.655778	1.1816			
CMPK1	0.00676438	1.34422	0.153015	-1.17741			
CMPK2	0.901161	-1.04777	0.835985	-1.08897			
CMYA5	0.766622	-1.12399	0.963752	-1.01978			
CNEP1R1	0.0966848	-1.42788	0.000315784	-2.52397			
CNFN	0.3035	-1.08883	0.0174627	1.25111			
CNGA4	0.409746	-1.07706	0.46393	1.07483			
CNGB1	0.66991	-1.0361	0.579209	1.05189			
CNGB3	0.643222	-1.03495	0.413524	-1.06896			
CNIH3	0.910982	-1.01327	0.0572277	1.28827			
CNOT2	0.983309	-1.00508	0.44919	1.22338			
CNOT4	0.654206	1.05884	0.0177785	1.41512			
CNOT6	0.258346	1.12605	0.000764303	1.52618			
CNOT6L	0.00303045	1.5325	0.0114125	-1.47809			
CNOT6LP1	0.00722461	1.61499	0.0762319	-1.39724			
CNOT7	0.141578	1.21877	0.268521	-1.17567			
CNPPD1	0.00992647	-1.14871	0.252456	1.06649			
CNPY4	0.308614	1.08977	1.65639e-008	2.00087			
CNR1	0.247592	-1.56149	0.869065	-1.07126			
CNST	0.00113599	1.98735	4.30739e-005	-2.71787			
CNTF	0.984971	1.00194	0.845736	1.02212			
CNTLN	0.978505	-1.00453	2.28639e-005	2.49038			
CNTNAP1	0.000132106	1.69653	1.52071e-006	-2.20028			
CNTNAP3	0.527702	1.20422	0.349995	-1.35321			
CNTNAP3B	0.513751	1.26029	0.504136	-1.296			
COA1	0.000142302	1.60598	2.35197e-005	1.81347			
COBL	1.9255e-006	-2.2193	0.00863566	-1.51744			
COBLL1	0.0433975	-1.49602	0.743183	1.07164			
COG1	0.268777	-1.1842	0.981636	-1.00382			
COG5	0.179449	1.23475	0.189859	1.25285			
COL19A1	0.113805	1.26632	0.105916	-1.30306			
COL1A2	0.916907	-1.04746	0.895462	1.06606			
COL27A1	0.0728935	-1.56001	0.697062	1.1085			
COL5A2	0.00103909	-2.35295	0.166112	1.44243			
COL6A1	0.223991	1.241	0.341209	1.2023			
COL8A2	0.924436	-1.00787	0.837068	-1.01881			
COLEC12	0.902429	1.03379	0.70114	-1.12085			
COMMD3	0.283379	1.10836	0.00370586	-1.38368			
