Gene	p-value(Classical-line vs. B10)	fold change(Classical-line vs. B10)	p-value(Mesenchymal-line vs. B10)	fold change(Mesenchymal-line vs. B10)	p-value(Proneural-line vs. B10)	fold change(Proneural-line vs. B10)	p-value(Classical-tex vs. TOTBRAIN)	fold change(Classical-tex vs. TOTBRAIN)	p-value(Mesenchymal-tex vs. TOTBRAIN)	fold change(Mesenchymal-tex vs. TOTBRAIN)	p-value(Proneural-tex vs. TOTBRAIN)	fold change(Proneural-tex vs. TOTBRAIN)	
EPHX1	0.0119681	-1.73088	0.00517845	1.96886	0.7394	1.07369	0.465534	-1.18062	0.033436	-1.64995	3.37141e-005	-3.53573	
NT5DC1	0.0190802	-1.72492	0.721914	-1.09046	0.0207775	-1.74136	0.000144019	-2.8548	7.1907e-008	-5.50696	4.1585e-006	-4.76646	
C3orf58	0.00290593	-1.72468	0.00278689	1.82218	0.621781	1.09041	0.0798551	-1.39639	0.0524836	-1.45043	0.00336767	-1.96851	
DISP1	0.00433194	-1.72148	0.0367441	1.52419	0.542848	1.11838	0.00257852	1.88495	0.19595	1.29045	0.67484	1.0989	
PARP9	0.104396	-1.71851	0.00549044	2.88621	0.590097	1.19942	0.00554821	2.88195	0.145042	1.69882	0.506808	1.31624	
HIST1H2BK	0.000370541	-1.71829	0.0176603	1.44951	0.585298	-1.07992	1.84153e-009	3.50258	3.05556e-014	7.3064	7.41082e-014	9.19553	
DOCK9	0.107288	-1.71792	0.262717	1.50311	0.153099	1.63791	0.171852	-1.64831	0.000130667	-4.78863	0.0107164	-3.07087	
HTRA1	0.0460872	-1.71735	0.295384	1.35417	0.860217	-1.04883	0.00888248	-2.21833	0.611611	-1.1573	0.698062	-1.13742	
KLHL2	0.0125592	-1.7148	0.285636	1.27362	0.761053	1.06649	0.000384575	-2.43353	1.38157e-006	-3.80229	1.22086e-006	-4.72844	
MOCS2	0.0154287	-1.71468	0.114638	1.45307	0.627838	-1.11204	0.0658384	-1.55124	0.0134886	-1.82897	5.16477e-005	-3.49989	
PSMB8	0.0533237	-1.7098	6.20967e-005	3.89185	0.354401	1.29569	0.121669	1.59245	0.575796	1.17968	0.895306	-1.04578	
YAP1	0.0160922	-1.70961	0.000467359	2.4701	0.511516	1.15519	0.000126714	2.75341	0.0284357	1.69933	0.668143	-1.12203	
MAGI3	0.00509152	-1.70311	0.0679781	1.44106	0.901942	-1.02286	0.0110402	-1.6867	0.00437613	-1.81269	4.83824e-006	-3.44936	
CD2AP	0.0550472	-1.70084	0.00216164	2.65904	0.0580735	1.71849	0.0191846	2.05733	0.430136	1.26249	0.228027	-1.51307	
LINC00340	0.076433	-1.6999	0.377059	1.32841	0.988409	-1.00438	0.019518	2.18503	0.00109754	3.13865	0.00210235	3.42499	
SNORD114-13	0.128303	-1.69988	0.363537	1.40899	0.00503755	-2.8877	0.113437	-1.83295	0.0126958	-2.67799	1.71132e-006	-12.7194	
MICA	0.000105372	-1.69931	4.91396e-005	1.85184	0.00176222	1.52378	0.359729	1.12866	0.060326	1.28917	0.843113	-1.03045	
PCDHB13	0.0594555	-1.69795	0.0501451	1.82974	0.0198234	1.98755	0.020467	2.06363	1.43014e-005	4.62424	3.7345e-006	6.89587	
RANBP3L	0.37557	-1.69782	0.059639	3.53252	0.555854	-1.43629	0.500585	-1.55201	0.00222016	-8.64244	1.57302e-007	-156.648	
PCDHGA9	0.0489085	-1.69154	3.12938e-005	3.948	0.471068	-1.21295	0.0537752	1.75615	0.000199928	3.27954	0.102897	-1.72442	
AXL	0.0291008	-1.69051	0.00610461	2.0967	0.0674266	1.56663	0.241327	1.3498	0.112444	-1.50736	0.23018	-1.42604	
MIR4450	0.00538008	-1.69047	0.0173414	1.62051	0.0812257	1.38547	3.65137e-005	2.52887	0.0011118	1.99612	0.12585	1.41688	
HLA-A	0.00953739	-1.68557	5.47734e-007	3.70026	0.340402	1.20759	0.00706354	1.81699	0.12468	1.38571	0.432234	1.20905	
SGCB	0.00250369	-1.68161	0.0384029	1.45317	0.990215	-1.00201	0.175739	-1.27037	0.612473	-1.09236	0.0739557	-1.44621	
ITFG1	0.115423	-1.6798	0.512317	1.26161	0.716232	1.1289	0.0429915	-2.0973	0.000402174	-4.03576	0.00138027	-4.16464	
HCFC2	0.0029151	-1.67953	0.0761084	1.37989	0.225434	1.22694	0.0174975	-1.55393	0.0109935	-1.60822	0.00312214	-1.9165	
JAKMIP2-AS1	0.000854565	-1.67568	0.0790925	1.31983	0.0302161	1.38741	0.0371917	1.39497	0.107761	1.288	0.00689284	1.66774	
ARL6IP1	5.77569e-005	-1.67053	0.0570575	1.26846	0.651371	-1.05307	0.00156276	-1.51893	0.00845296	-1.40316	0.00934499	-1.47025	
FAM65B	0.131971	-1.66998	0.00317476	3.2015	0.302527	1.4316	0.717618	-1.1416	0.00513451	-2.98997	1.61669e-005	-8.57251	
CAST	0.047463	-1.66795	0.011056	2.08417	0.178172	1.42254	0.48465	1.2115	0.767629	1.0842	0.0283035	-2.05743	
ZNF718	0.0262781	-1.66195	0.0310758	1.71362	0.955404	-1.01274	0.543857	-1.15739	0.3826	-1.23486	0.129733	-1.53462	
ZNF793	0.0277711	-1.66155	0.289795	1.29583	0.732748	-1.08128	0.0641723	1.58752	0.558327	1.15298	0.115437	-1.56862	
TRIM5	0.00357049	-1.65593	0.140787	1.30256	0.792904	-1.0446	0.000599516	1.95443	0.00642885	1.66843	0.0536821	1.49961	
APOBEC3C	0.0277724	-1.65581	0.000191815	2.75904	0.000805408	2.31433	0.000877182	2.41686	0.0942891	1.51091	0.579838	1.16692	
SLC41A2	0.00152038	-1.6526	0.000153706	1.97924	0.0219864	1.43228	8.15978e-005	-2.05118	9.28609e-006	-2.31631	4.22407e-005	-2.39214	
ARSJ	0.286476	-1.64832	0.00669761	4.34749	0.269997	-1.70662	0.477818	1.43709	0.624137	1.28372	0.2915	-1.86912	
FLJ44635	0.0313404	-1.64398	0.02005	1.80799	0.542569	-1.1503	0.437906	-1.20873	0.258948	-1.31976	0.6457	-1.13803	
FAM155A	0.336687	-1.64314	0.631594	1.30985	0.822428	1.12629	0.00513218	-5.37818	4.76772e-005	-14.0747	0.00153964	-9.40902	
PROX1-AS1	0.14897	-1.64219	0.0130458	2.63334	0.297952	1.44245	0.837561	1.07882	0.174695	1.66526	0.522041	1.31574	
TMEM154	0.367577	-1.64152	0.0198957	4.30456	0.0711988	2.84799	0.783759	1.17861	0.891746	1.08487	0.546551	1.51881	
ILK	6.12323e-005	-1.64097	0.00133786	1.50995	0.757998	1.03474	0.779636	-1.03344	0.117255	1.2067	0.0925278	-1.26333	
USP18	0.260973	-1.63824	5.23455e-005	9.24736	0.0646365	2.34806	0.025033	3.04457	0.719543	1.18658	0.789902	-1.15778	
ZNF880	0.0470449	-1.63743	0.418433	1.23861	0.769046	-1.07558	0.851621	1.05044	0.512998	-1.18848	0.0320484	-1.9683	
STAT2	0.136784	-1.6362	0.128099	1.73689	0.729585	1.12306	0.0533635	2.03309	0.975453	1.01101	0.590487	1.24807	
ZNF385D	0.00124899	-1.63111	0.00619873	1.5572	0.0263249	-1.39291	0.000304574	-1.84791	0.00457302	-1.58577	4.64823e-006	-2.63183	
CYB5R2	0.00537041	-1.62359	0.0165215	1.56703	0.202829	1.2425	0.0043431	-1.72589	0.0327824	-1.48571	0.62589	1.10584	
AQP4	0.28422	-1.6221	0.134083	2.1134	0.772752	-1.14283	0.693255	1.21354	0.0542351	-2.64743	4.4777e-007	-36.4537	
ALPK1	0.000296585	-1.62158	0.0104867	1.42384	0.110023	-1.22255	5.68597e-006	2.03751	0.00171446	1.56153	0.535096	1.0983	
CEND1	0.002527	-1.62155	0.106007	1.30704	0.618456	-1.07921	0.000313572	-1.92353	0.0013485	-1.76443	0.044298	-1.47623	
TMEM184C	0.0500911	-1.62096	0.154023	1.4609	0.702504	-1.09882	0.248615	-1.35658	0.0678716	-1.63391	0.00198747	-2.75627	
EMP1	0.459357	-1.61777	0.202979	2.49683	0.0819152	3.29734	0.113903	3.14178	0.689496	1.32793	0.286541	2.4129	
SNX2	0.0468961	-1.61246	0.0812491	1.5771	0.661525	-1.11101	0.679635	-1.11105	0.381947	-1.25116	0.0201927	-2.04474	
SNORD114-19	0.119792	-1.61241	0.08831	1.77846	0.00695547	-2.44226	0.709359	-1.13085	0.163494	-1.59494	9.87164e-005	-5.43734	
H1F0	0.00274627	-1.61153	2.34131e-009	3.82956	0.10615	1.28601	0.130806	1.28249	0.446289	1.13157	0.0529313	-1.4516	
ITM2B	0.086551	-1.61068	0.397869	1.28753	0.881129	1.04279	0.279072	-1.38379	0.00355405	-2.5403	0.0173081	-2.35676	
ATL3	0.0651212	-1.60718	0.00387494	2.33904	0.164855	1.43963	0.430445	-1.2423	0.862314	-1.04863	0.0062749	-2.51278	
ME3	0.000808074	-1.60675	0.00702616	1.49715	0.742379	1.04458	0.445942	1.11372	0.172676	1.21508	0.669017	-1.072	
DUSP5	0.0409263	-1.60528	0.0058641	2.05426	0.858538	-1.04199	0.360427	-1.25282	0.204285	-1.37017	0.348751	-1.30572	
PCSK2	0.162351	-1.60202	0.282274	1.48377	0.180761	-1.59297	1.21793e-005	-6.58441	0.000364371	-4.25331	0.00211861	-4.0535	
S1PR3	0.141583	-1.60182	0.00182481	3.21935	0.292639	1.41234	0.000770392	3.59482	0.0760379	1.87428	0.202869	1.67182	
BBS4	0.0154381	-1.60109	0.240617	1.27167	0.668965	-1.08516	0.80981	1.04995	0.487776	-1.15146	0.0128884	-1.84601	
PTPRN2	0.06084	-1.60088	0.195577	1.41951	0.404364	1.23494	0.000725087	-2.70837	0.00180345	-2.47494	0.0576122	-1.82813	
SLC9A9	0.212331	-1.59855	0.0452051	2.32275	0.757408	-1.12582	0.272645	-1.56931	0.0424873	-2.35009	0.000128925	-7.72813	
EPS8	0.0489584	-1.59852	0.183295	1.40643	0.0807581	1.53208	0.802053	1.06538	0.0866894	-1.55811	0.744089	1.09994	
WDFY3	0.0123766	-1.59606	0.63453	-1.09682	0.0864835	-1.37928	0.114479	-1.36729	0.0616305	-1.45299	0.00280371	-2.06151	
PHEX	0.000570348	-1.59293	0.00602574	1.47872	0.310583	-1.13736	3.33767e-006	2.12319	0.00298087	1.53385	0.1249	1.27286	
MEG3	0.00394119	-1.59247	0.0309135	1.44711	0.000520052	-1.81857	0.709491	-1.06329	0.308274	-1.18427	0.00641904	-1.73695	
GBP3	0.29351	-1.59182	0.00153559	5.25936	0.106513	2.11118	0.00247068	4.82525	0.915029	-1.05258	0.10173	-2.53072	
TSTD1	5.56291e-006	-1.58852	0.00345694	1.33943	1.46947e-005	-1.56536	1.19548e-006	1.74613	0.887583	1.01321	0.0189678	-1.30165	
RFFL	0.00474364	-1.58822	0.000914853	1.84256	0.462636	-1.12359	0.78208	1.04746	0.962436	1.00792	0.258584	-1.24719	
ABCA8	0.374325	-1.58617	0.0990993	2.59534	0.302292	1.74107	0.0168229	-4.13166	0.0613757	-2.97163	0.000378657	-13.3316	
ZNF544	0.00032844	-1.58264	0.000809025	1.58719	0.569569	-1.06955	0.0972861	1.23651	0.00397288	1.47259	0.464355	1.11199	
SNORD114-12	0.181552	-1.57957	0.0079148	2.83462	0.0103802	-2.5702	9.65442e-006	-6.99294	6.00973e-006	-7.43656	5.65762e-014	-257.962	
MIR3612	0.0737571	-1.57717	0.0801997	1.62869	0.131741	1.4822	0.22273	-1.3985	0.0439781	1.76198	0.000140859	3.88108	
EPHB3	0.0146944	-1.57403	0.0479921	1.4854	0.0168428	1.58093	0.643689	1.09382	0.670499	1.08596	0.0644116	1.53034	
LOC100652840	0.080394	-1.57165	0.00120103	2.66231	0.106411	1.53655	0.259458	-1.36971	0.762699	1.08697	0.74583	1.10893	
ITPR3	0.000607344	-1.56788	1.34707e-008	2.69443	0.00122889	1.54154	0.806666	1.03227	0.422873	1.11016	1.20927e-005	2.17504	
ZBTB20	0.0116328	-1.56786	0.0633761	1.42393	0.161392	1.28166	1.5957e-006	2.97739	1.97809e-008	3.9988	4.94059e-007	3.85351	
CNR1	0.247592	-1.56149	0.00107419	4.47439	0.190072	-1.68761	0.842414	-1.08657	0.869065	-1.07126	0.350989	-1.57288	
COL27A1	0.0728935	-1.56001	0.350567	1.28212	0.363993	-1.25578	0.310159	1.31069	0.697062	1.1085	0.725876	1.11305	
ABCC3	0.0100013	-1.55305	0.141947	1.30277	0.462493	-1.13095	0.000572406	1.96504	4.58459e-009	4.15418	1.57041e-007	3.95462	
SGMS2	0.0115922	-1.55157	3.76061e-006	2.74688	0.0328867	1.45848	0.0711156	1.39773	0.271304	1.22209	0.065214	-1.48513	
FRRS1	0.0413607	-1.54937	0.019546	1.74229	0.327358	1.23522	0.00386146	2.0232	0.00628625	1.93727	0.191758	1.41485	
IFITM1	0.18806	-1.54073	0.000778845	3.72191	0.5887	1.1986	0.129584	1.72958	0.223099	-1.54857	0.403969	-1.41002	
MICB	0.0546297	-1.5404	1.52343e-006	4.10569	0.00303357	2.05363	0.311135	1.27609	0.0601378	1.58771	0.148882	1.49907	
SNORD114-15	0.0752258	-1.53915	0.00287978	2.29755	0.00779562	-1.99201	0.0267074	-1.81715	0.00309144	-2.28145	5.93059e-009	-10.74	
DTX3L	0.261622	-1.5384	0.0114288	3.03846	0.54472	1.26899	0.0709197	2.1646	0.62856	1.22333	0.860519	-1.08806	
RIN2	0.0479778	-1.53771	0.00213966	2.15548	0.178832	1.34542	0.00264204	2.11603	0.537246	-1.15337	0.0582175	-1.68177	
PCDHB12	0.15328	-1.53611	0.00112883	3.176	0.001842	2.81162	0.00875138	2.45995	4.01948e-005	4.67693	0.000413583	4.35607	
SLC7A11	0.416017	-1.53538	0.329136	1.75934	0.399533	1.58229	0.041134	3.37133	0.633924	-1.31521	0.0722168	-3.40552	
IRAK2	0.00137649	-1.53446	6.10026e-006	2.07126	0.161545	1.1972	0.118017	-1.23869	0.661042	-1.06067	0.00585412	-1.57727	
CD99P1	0.00725847	-1.53376	7.44289e-006	2.40842	0.986795	-1.00256	8.18888e-006	2.3952	5.2656e-005	2.1516	0.022044	1.57388	
PROX1-IT1	0.134666	-1.53238	0.00252698	2.72454	0.335405	1.32406	0.320546	-1.35958	0.664946	1.14228	0.846099	-1.07117	
TRANK1	0.204257	-1.53093	3.91284e-006	7.57353	0.0782193	1.8552	0.2072	1.5895	0.245088	-1.53142	0.161809	-1.81374	
ACOT12	0.0254109	-1.52941	8.13728e-006	2.89501	0.0675063	1.42454	0.506516	1.14228	0.706237	1.0782	0.188036	-1.36039	
CSRNP3	0.0668803	-1.52884	0.31134	1.2864	0.0906334	1.49649	2.66821e-005	-3.35698	0.00131622	-2.37867	1.67697e-005	-4.24115	
WHAMMP3	0.122807	-1.5275	0.00298202	2.57174	0.0867628	1.62894	0.484866	-1.22962	0.736789	1.10423	0.715075	1.13243	
C9orf64	0.222812	-1.52534	0.00202294	3.51165	0.186269	1.60611	0.912645	1.04196	0.606655	1.21327	0.678327	-1.19683	
MIR484	0.0137692	-1.52483	0.0100128	1.62513	0.206998	1.23956	0.899627	-1.02272	0.0691589	1.39501	0.0159256	1.68384	
LOC100507463	0.0142144	-1.52315	6.40264e-006	2.62817	0.155654	1.27523	0.0563723	1.4211	0.253639	1.22885	0.997527	-1.00064	
LOC100506831	0.07318	-1.52238	0.157947	1.43198	0.875831	1.03753	0.0139537	1.91061	0.304394	1.29575	0.43778	1.25252	
E2F7	0.134689	-1.52184	0.0357311	1.93084	0.108618	1.59442	9.6147e-006	4.90294	1.60395e-006	5.93162	4.87574e-006	6.81381	
PSME1	0.0238748	-1.52039	0.0088846	1.71548	0.538339	-1.11983	0.125296	1.35542	0.802971	1.04974	0.000240792	-2.52927	
NHSL2	0.0204268	-1.5179	0.00271433	1.84101	0.709721	-1.0684	0.679118	-1.08113	0.51625	-1.13051	0.559452	-1.13573	
APOL6	0.194826	-1.51785	3.52467e-005	5.32833	0.0729741	1.82931	0.0231385	2.28222	0.932222	-1.03001	0.00853521	-3.06636	
SNAI2	0.208305	-1.51501	0.000614789	3.87258	0.187289	1.56869	0.357026	1.39242	0.937122	1.02855	0.260737	-1.59746	
AGA	0.0418082	-1.5146	8.47219e-005	2.64136	0.0747068	1.4511	0.114337	1.41598	0.400444	-1.20012	0.0889693	-1.54359	
LOC100509195	0.22495	-1.51392	0.00227499	3.39791	0.161567	1.64236	0.490879	1.2914	0.298713	1.47365	0.0536029	2.34101	
SRR	0.00763771	-1.51326	0.20335	1.22917	0.431173	-1.12678	0.00336933	1.65748	3.07951e-006	2.47728	0.00840961	1.67673	
DUSP6	0.202045	-1.51142	0.0636265	1.9506	0.550448	1.21837	0.832687	-1.07673	0.217243	-1.54842	0.545771	-1.27732	
TAPBP	0.000167053	-1.51086	0.000192732	1.56308	0.160935	1.15318	0.00875856	1.34302	0.442672	-1.08525	0.0262759	1.32823	
ZNF702P	1.13742e-005	-1.50984	0.00545694	1.29342	0.00063392	-1.36199	3.24356e-007	-1.75163	6.95538e-008	-1.83869	7.32799e-012	-2.92034	
EPB41L4A	0.208405	-1.50978	0.541863	1.24184	0.198088	-1.54586	0.115245	1.76719	0.144881	1.69118	0.146503	-1.82976	
RDX	0.0146991	-1.50928	0.0334937	1.47417	0.862058	-1.02919	0.0058136	1.67736	0.00536034	1.68683	0.145239	1.35085	
UBLCP1	0.0687282	-1.50849	0.170048	1.3984	0.816742	-1.05398	0.0669403	-1.57374	0.00313503	-2.15179	0.000340358	-3.04418	
COX8A	0.00109619	-1.50783	0.0663829	1.26782	0.306088	-1.13006	0.00257506	1.50623	0.21124	1.17247	0.439267	-1.11934	
RAB30	0.081148	-1.50684	0.279275	1.3155	0.173427	-1.38704	0.313767	-1.29042	0.000869197	-2.51003	1.5583e-007	-7.04235	
COBLL1	0.0433975	-1.49602	6.737e-006	3.12065	0.136299	1.3525	0.000660056	2.21441	0.743183	1.07164	0.576072	1.14634	
ARRDC3	0.129656	-1.49559	0.0055305	2.33031	0.540217	1.17974	0.122051	-1.56871	0.0371834	1.85346	0.814952	1.0802	
EPHA4	0.206673	-1.49237	0.00897344	2.58459	0.702626	1.13143	0.01791	-2.34239	0.190784	-1.57591	0.0075477	-3.07746	
CTTNBP2	0.149821	-1.49097	8.11097e-005	3.85376	0.000682357	2.878	0.599221	-1.17028	0.0827642	1.70119	0.224707	1.52769	
FAM102B	0.0166041	-1.4896	0.0262391	1.49522	0.854022	1.03056	4.87043e-006	-2.60032	0.000118622	-2.13976	0.000284691	-2.26104	
CDH11	0.201777	-1.48914	0.00797328	2.58596	0.0680364	1.81579	0.0745697	1.85421	0.578541	1.20649	0.911271	-1.04433	
RNF217	0.00590252	-1.48634	0.0667201	1.32142	0.449686	1.11158	0.838407	1.03059	0.423829	1.12612	0.0753618	1.36559	
TCF7L1-IT1	0.027125	-1.48479	0.261926	1.2375	0.465611	-1.13867	3.97218e-006	2.85386	8.94156e-007	3.15154	0.00243406	2.03877	
ZNF66P	0.0347813	-1.48459	0.055614	1.4767	0.580059	1.10875	0.759492	1.06234	0.0568207	1.47371	0.303676	1.26687	
THSD7A	0.294826	-1.48376	0.0122183	2.94799	0.521603	-1.28127	0.126091	1.89246	0.629351	1.21858	0.496907	-1.37978	
HLA-G	0.00095791	-1.48292	1.80394e-007	2.21291	0.244754	1.14093	0.000168569	1.65912	0.115546	1.21049	0.0967976	1.26277	
PCDHB2	0.223514	-1.48137	0.178007	1.61234	0.000276897	3.835	0.0551255	1.996	0.12842	1.71858	0.00154195	4.02763	
FBXO39	0.0194999	-1.48134	0.00199886	1.80472	0.809321	-1.04084	0.0492893	1.42954	0.0544008	1.41785	0.169172	1.32804	
MAP3K5	0.393665	-1.48086	0.00612827	4.32952	0.415511	1.47235	0.978672	-1.01349	0.01075	-3.86443	6.27813e-006	-23.0058	
MGARP	0.487744	-1.47787	0.0806137	3.0079	0.79392	-1.16339	0.433838	-1.62116	0.770373	-1.19648	0.840103	-1.15388	
KDR	0.294102	-1.477	0.141385	1.83001	0.259838	-1.54222	0.418571	1.3884	0.0694612	-2.12394	0.0613383	-2.4548	
GAS2L3	0.0556176	-1.47411	0.0144505	1.74063	0.640122	-1.09972	2.06599e-005	2.93418	1.64396e-008	5.09849	6.34158e-008	5.78969	
WHAMMP2	0.168812	-1.47359	0.00338186	2.6085	0.10715	1.60264	0.488007	-1.23551	0.861483	1.05444	0.777328	1.10434	
TIFA	0.0156505	-1.47298	1.9019e-006	2.65112	0.0659849	1.34695	0.287673	-1.19627	0.745017	-1.05584	0.00282984	-1.86213	
HIVEP3	0.305422	-1.4725	0.0972281	2.00565	0.265802	1.54438	0.976091	1.01236	0.628841	-1.21962	0.570563	1.30896	
RSPRY1	0.145493	-1.46701	0.206121	1.43765	0.703196	1.10724	0.0643719	1.715	0.545145	-1.18757	0.531911	-1.22768	
GCNT2	0.0482992	-1.46536	0.0962087	1.41791	0.456745	-1.1555	0.727266	1.0742	0.69316	1.08437	0.361256	1.24317	
TRIM21	0.116987	-1.46359	0.000272591	2.90271	0.333327	1.27081	0.00802993	2.08363	0.140998	1.47826	0.631346	-1.15571	
CPQ	0.0124601	-1.46201	0.0238323	1.45144	0.153465	1.24119	0.276915	1.18922	0.926629	1.01464	0.00418114	-1.75108	
ZC3H12C	0.0121855	-1.46167	0.0262898	1.43946	0.129034	-1.25779	1.91165e-007	2.84907	9.02278e-010	3.9184	0.000238393	2.11819	
SNORD114-24	0.0985765	-1.46057	0.101484	1.50874	0.00984875	-1.88245	0.272435	-1.31279	0.116519	-1.48205	1.76086e-005	-4.19243	
ACP2	0.000560777	-1.45869	0.0177354	1.30847	0.381702	-1.09384	0.216185	1.14497	0.522438	1.07181	0.692097	1.05072	
PCDHB10	0.120521	-1.45852	0.00412059	2.23358	0.00348533	2.16757	0.000422259	2.78825	1.94657e-005	3.70645	2.29269e-005	4.46126	
LRRC17	0.221782	-1.45809	0.00317398	2.89247	0.58262	1.18938	0.0293182	2.13348	0.219185	1.51515	0.281543	1.52083	
HFE	0.000171547	-1.45709	0.00043722	1.46203	0.0558934	1.19756	0.0640445	1.20305	0.00689926	1.32171	0.00046578	1.54654	
PRDM8	0.108001	-1.45597	0.0683655	1.59942	0.0909872	-1.50529	0.0343161	-1.73465	0.110274	-1.50499	0.109396	-1.60519	
SORT1	0.17215	-1.45486	0.295955	1.3666	0.275439	-1.36006	0.062463	-1.76503	0.00487419	-2.44141	0.00327932	-2.95441	
HRH1	0.0135403	-1.45246	0.00725206	1.56671	0.465203	1.11481	0.0834081	1.32192	0.0648824	1.34804	0.110701	-1.34414	
TMEM19	0.0422546	-1.44901	0.262746	1.24431	0.195872	1.26979	0.650048	-1.09173	0.101894	-1.38148	0.0146987	-1.77279	
HLA-J	0.0130559	-1.44636	7.8467e-007	2.5875	0.288274	1.16898	0.00117287	1.7322	0.185418	1.23075	0.208658	1.25518	
APPBP2	0.102642	-1.44575	0.388932	1.2333	0.894233	1.03079	0.0195623	-1.80703	0.00509607	-2.06453	0.00206199	-2.54553	
HIST2H4B	0.100913	-1.44531	0.146647	1.4265	0.240487	-1.30885	0.429809	-1.21021	0.00191557	2.24996	0.541635	1.18525	
NMI	0.287199	-1.44503	6.82001e-006	7.55928	0.0205086	2.35938	0.0677259	2.02461	0.593046	1.22268	0.614183	-1.24474	
NEFH	0.0354943	-1.44402	0.259786	1.23363	0.172733	1.27216	6.27624e-016	-17.2781	1.73726e-015	-15.5306	4.59299e-013	-12.8406	
PCSK5	0.00863043	-1.44285	0.000119653	1.8802	0.21289	1.18705	0.000254626	1.80868	0.0125314	1.46168	0.036925	-1.43384	
LPP-AS2	0.0244441	-1.43926	0.133148	1.29676	0.0513531	1.38005	2.37253e-008	3.52972	0.00042821	1.94709	0.25046	1.25583	
TMTC3	0.127702	-1.43863	0.338409	1.2807	0.433025	1.20991	0.015457	-1.92138	0.0049588	-2.1627	0.00546914	-2.40914	
UBE2J1	0.0225503	-1.43783	0.0156372	1.52794	0.188659	1.23339	0.768316	1.0504	0.383367	-1.15758	0.446809	-1.15862	
ZNF90	0.0210563	-1.43762	0.00978171	1.56922	0.443187	1.1271	0.153758	1.26996	0.00674037	1.60852	0.479566	1.14454	
PCDHB7	0.422973	-1.43758	0.00119256	5.76771	0.00594579	3.92067	0.00887183	3.93526	0.00255518	5.00761	0.000580177	8.79504	
TRPM3	0.533584	-1.43624	0.00552505	6.57211	0.348965	1.7592	0.394163	-1.72352	0.0451697	-3.72921	0.0879408	-3.60555	
ARV1	0.00674461	-1.4327	0.0471919	1.32327	0.943674	1.00913	0.0657838	-1.29492	0.00785663	-1.4704	0.00112381	-1.75588	
SLC24A3	0.266141	-1.43019	0.25054	1.49976	0.56859	-1.20684	0.802393	1.09126	0.315178	-1.42384	0.000525124	-4.71737	
GLIPR1	0.395901	-1.42811	0.00063191	5.6372	0.00297152	3.98131	0.519659	1.34352	0.734499	-1.16783	0.0109179	-4.13786	
CNEP1R1	0.0966848	-1.42788	0.163718	1.38381	0.445565	1.18037	0.19786	-1.34936	0.000315784	-2.52397	1.32791e-005	-3.91948	
ZNF75A	0.0293127	-1.42569	0.0272222	1.48308	0.575042	-1.09496	0.853708	1.03207	0.00124237	1.83153	0.00104448	2.03699	
CLU	0.0147662	-1.42425	0.0419679	1.37457	0.606466	1.07626	0.125917	1.26582	0.270572	1.18302	0.765118	1.05351	
UBQLNL	0.0452944	-1.42399	0.214309	1.2651	0.939713	-1.01342	2.23798e-007	3.43671	6.71572e-005	2.35638	0.00243315	2.03092	
ARPP21	0.0373232	-1.42342	0.593198	-1.10059	0.16296	-1.27043	2.22703e-005	-2.43592	2.51335e-007	-3.23716	0.00376439	-1.90381	
AKAP7	0.042272	-1.42256	0.00494772	1.7371	0.389252	1.16174	0.0366957	-1.48886	0.0736226	-1.40132	7.11658e-006	-3.12399	
IFIT2	0.49382	-1.42156	0.0373246	3.3604	0.60708	-1.31333	0.298579	1.80116	0.529489	-1.42458	0.00582011	-6.73499	
CORO2B	0.186499	-1.42009	0.00465694	2.3845	0.819577	1.06359	0.121037	-1.57376	0.0344696	-1.87679	0.137251	-1.65046	
DGKB	0.094594	-1.41731	0.0038309	2.00119	0.897816	-1.02739	3.10852e-009	-6.23923	1.62928e-008	-5.41726	5.78409e-009	-7.7862	
ZNF665	0.0133045	-1.4162	0.000601904	1.74262	0.776305	1.03994	0.0184643	1.43476	0.0164411	1.44514	0.0912341	-1.33897	
TMEM127	0.0198546	-1.41587	0.076775	1.32811	0.300112	1.16639	0.270652	1.18976	0.097492	-1.30321	0.938284	1.01406	
LRRC16A	0.342223	-1.41447	0.347302	1.45618	0.648561	1.1863	0.434523	1.36584	0.0291188	-2.46451	4.34108e-006	-12.7179	
SMPD1	0.0206528	-1.41296	0.000524217	1.82581	0.127327	1.25753	0.740205	1.05324	0.0433767	-1.38667	0.570062	-1.10824	
EXOC8	0.0519324	-1.41122	0.156841	1.31087	0.113097	1.33223	0.00278772	-1.8355	0.000610976	-2.04133	4.84477e-005	-2.77418	
TRIL	0.182921	-1.41115	0.00886033	2.17004	0.00510601	2.19968	0.368361	1.28755	0.243291	-1.39009	0.00113357	-3.15846	
HTATIP2	0.308546	-1.40884	0.0168939	2.50196	0.179573	1.5994	0.350843	-1.40993	0.421242	-1.34392	0.846512	1.08516	
KIF24	0.0966768	-1.40727	0.00194378	2.09834	0.548031	-1.13317	0.000759759	2.26579	0.000234068	2.48842	0.000318498	2.786	
MSANTD4	0.112562	-1.40589	0.0117922	1.84448	0.689476	-1.09072	0.92587	1.02165	0.03096	1.67675	0.442899	-1.2275	
HIST2H2BA	0.114633	-1.40556	0.109136	1.46073	0.969406	-1.0084	0.165851	1.38533	0.0151561	1.80621	0.136694	1.49966	
